month,revenue,ebitda,cash,total_debt,interest_expense,accounts_receivable
2025-09-30,3200000,448000,2500000,25200000,175000,3900000
2025-10-31,3250000,455000,2475000,25200000,175000,3950000
2025-11-30,3300000,462000,2450000,25200000,175000,4000000
2025-12-31,3350000,469000,2420000,25200000,175000,4050000
2026-01-31,3380000,473000,2400000,25200000,175000,4100000
2026-02-28,3420000,479000,2380000,25200000,175000,4140000
2026-03-31,3460000,484000,2360000,25200000,175000,4170000
2026-04-30,3500000,490000,2340000,25200000,175000,4200000
2026-05-31,3540000,496000,2320000,25200000,175000,4230000
2026-06-30,3580000,501000,2300000,25200000,175000,4260000
2026-07-31,3620000,507000,2280000,25200000,175000,4290000
2026-08-31,3660000,512000,2260000,25200000,175000,4320000
